point_id,role,series_id,group_id,case_id,metric,source_value,source_unit,normalized_value,normalized_unit,measurement_uncertainty,digitization_uncertainty,conversion_uncertainty,coverage_factor,engineering_absolute_tolerance,engineering_relative_tolerance,source_locator,pool_applicability
cross_equal_speed_ratio,confirmation_target,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,back_to_front_speed_ratio,0.987432580352645,dimensionless,1.0,dimensionless,0.02610928824969865,0,0,2,0.05,0,"Supplementary video 4582, frames 80-95",DIRECT
cross_observed_back_speed,source_observation,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,back_ball_speed,77.52046183723186,cm/s,77.52046183723186,cm/s,1.458538313451318,0,0,2,0,0,"Supplementary video 4582, frames 80-95",DIRECT
cross_observed_front_speed,source_observation,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,front_ball_speed,78.50709342560555,cm/s,78.50709342560555,cm/s,1.458538313451318,0,0,2,0,0,"Supplementary video 4582, frames 80-95",DIRECT
cross_source_frozen_contact,source_apparatus_fact,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,balls_initially_in_contact,1,dimensionless,1,dimensionless,0,0,0,2,0,0,Author manuscript section 1 and figure 1(b),NOT_APPLICABLE
cross_source_camera_rate,source_apparatus_fact,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,source_frame_rate,600,frame/s,600,frame/s,0,0,0,2,0,0,Author manuscript section 2,NOT_APPLICABLE
cross_back_ols_slope,extraction_intermediate,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,ols_slope,1729.459122352942,px/s,1729.459122352942,px/s,0,0,0,2,0,0,OLS of back ball frames 80-95,NOT_APPLICABLE
cross_back_ols_intercept,extraction_intermediate,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,ols_intercept,139.5320493235293,px,139.5320493235293,px,0,0,0,2,0,0,OLS of back ball frames 80-95,NOT_APPLICABLE
cross_back_ols_residual_rmse,extraction_intermediate,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,ols_residual_rmse,0.0750856423636791,px,0.0750856423636791,px,0,0,0,2,0,0,OLS of back ball frames 80-95,NOT_APPLICABLE
cross_back_coordinate_slope_uncertainty,extraction_intermediate,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,coordinate_slope_uncertainty,32.53956867279843,px/s,32.53956867279843,px/s,0,0,0,2,0,0,one-pixel standard uncertainty propagated through OLS,NOT_APPLICABLE
cross_back_residual_frame_080,extraction_intermediate,cross_frozen_cue_pair,equal_speed_release,cross_cue_frozen_pair,ols_residual,-0.0431839705882453,px,-0.0431839705882453,px,0,0,0,2,0,0,"Supplementary video 4582, back ball source frame 80, OLS residual",NOT_APPLICABLE
